feature,fairly_valued,overvalued,undervalued
MKT_YOY_FY2025,0.14944352912060302,0.02434095520449704,-0.21672503113625463
MKT_ASSESS_GAP_YOY_FY2021,0.04867697256996055,-0.03079780219663515,-0.07970916489424933
MKT_ASSESS_GAP_YOY_FY2022,-0.01253004044711204,-0.1423070152526013,-0.17033193028186605
MKT_ASSESS_GAP_YOY_FY2023,0.04624966123293173,0.057040457666287125,-0.4721701046409776
MKT_ASSESS_GAP_YOY_FY2024,0.10336368203793357,-0.07504161780263853,-0.39287887654315007
MKT_ASSESS_GAP_YOY_FY2025,0.00272400683952018,0.10505297463394525,0.045861910718310785
CUMUL_GROWTH_FY2021,-0.04096124889505761,-0.3153898954504408,-0.21667322478476617
CUMUL_GROWTH_FY2022,0.20335206093183078,-0.03804807254016927,-0.6151557536073017
CUMUL_GROWTH_FY2023,0.13412016396112847,0.4445825324450493,0.4914376902228443
CUMUL_GROWTH_FY2024,-0.2056130239993433,-1.3026163410584384,0.2615452247213072
CUMUL_GROWTH_FY2025,0.17366889377524497,-0.3505357232422747,0.6653762673792762
CUMUL_LAND_GROWTH_FY2021,-0.0283096263527453,0.19258791763321964,1.102194680345301
CUMUL_LAND_GROWTH_FY2022,0.1257843277149978,1.1465947086531956,-0.8808495576364126
CUMUL_LAND_GROWTH_FY2023,-0.04719665281332864,0.10474345978783461,0.47016728379480965
CUMUL_LAND_GROWTH_FY2024,0.10985467385233186,-0.31797477700774746,-0.5042855554805283
CUMUL_LAND_GROWTH_FY2025,-0.22394609381852612,-0.7729331168941085,-0.4713689331025041
CUMUL_MKT_GROWTH_FY2021,0.04305539059015361,-0.4031176255671049,0.15586741813030566
CUMUL_MKT_GROWTH_FY2022,0.05544368240619265,-0.8139217379043022,-0.46671223684101365
CUMUL_MKT_GROWTH_FY2023,0.17929005023249353,-0.3885813863575987,0.6175852220986193
CUMUL_MKT_GROWTH_FY2024,-0.5039416129383519,-0.03549419571702144,0.23419386400874656
CUMUL_MKT_GROWTH_FY2025,-0.16329204781431444,1.7941353105494577,-0.5502323369740316
ASSESS_ACCEL_FY2023,0.0210568094803395,-0.07207981369171099,-0.23945301434529417
ASSESS_ACCEL_FY2024,0.07762051139430393,0.052854301000380445,0.1550507053704494
ASSESS_ACCEL_FY2025,-0.18028113530970627,0.6202848733008295,0.30350948919305576
LAND_ACCEL_FY2023,0.0362831786492769,0.38484761958012714,0.021099812491613152
LAND_ACCEL_FY2024,0.025984632328065953,-0.016194004538129046,-0.1615231507213955
LAND_ACCEL_FY2025,0.035205793058112875,-0.1296547539214629,-0.1317507185928328
MKT_ACCEL_FY2023,0.026349836381115255,-0.0015772635306614408,-0.3076509592798829
MKT_ACCEL_FY2024,0.09416345031583383,-0.01677398823528996,0.1345679698552164
MKT_ACCEL_FY2025,-0.1342098225945945,0.3469421238903516,0.3986433327704837
LAND_RATIO_FY2020,0.04439504569174103,1.0254006924268821,-0.5616249366013889
LAND_RATIO_FY2021,0.2072289700931515,-0.15104727246114852,0.02515694362869486
LAND_RATIO_FY2022,-0.11650465360325823,0.36002606271061,-0.42809407003358557
LAND_RATIO_FY2023,-0.07581336939465562,0.32020802375432544,0.13526361363054956
LAND_RATIO_FY2024,-0.184832308652064,0.8649238288014244,-0.48945630379845584
LAND_RATIO_FY2025,0.09758433693510497,1.388531831148517,-1.1449999325578495
MKT_ASSESS_RATIO_FY2020,-0.14014495160066054,1.0438251732222414,-1.0162151935749906
MKT_ASSESS_RATIO_FY2021,-0.013106575208921722,0.6525572267066772,-0.07021859371104139
MKT_ASSESS_RATIO_FY2022,-0.01933272351054502,1.5617892940805782,-0.8911909316162173
MKT_ASSESS_RATIO_FY2023,0.17404730377365352,0.5365883101995429,-1.1929531975535572
MKT_ASSESS_RATIO_FY2024,-0.4037194138727102,1.9186353897566826,-1.6139627441122093
MKT_ASSESS_RATIO_FY2025,-0.18598578000555918,1.4789196561427111,-1.566313209644466
ASSESS_PER_SQFT_FY2020,-0.218376625359727,-0.02063406867283403,-0.007386199790717361
ASSESS_PER_SQFT_FY2021,-0.16004449718043887,-0.21016787129675746,0.015307235370075103
ASSESS_PER_SQFT_FY2022,-0.05711093131908711,-1.2959069394062754,0.2652250079542268
ASSESS_PER_SQFT_FY2023,-0.06684282706805707,-0.4768590062968155,0.1367533815740576
ASSESS_PER_SQFT_FY2024,-0.16421311253375165,0.23010490264407413,0.3237345464652389
ASSESS_PER_SQFT_FY2025,-0.23665844132508743,-0.028660320596863173,-0.008072076440203746
